Hẹp động mạch thận phải có tiến hành hiến thận được không ?	disease* Hẹp động mạch thận *disease phải có tiến hành procedure* hiến thận *procedure được không ?
Trẻ sơ sinh 2 tháng tuổi vàng mặt , hay khóc thét có phải bị vàng da nhân não không ?	Trẻ sơ sinh 2 tháng tuổi disease* vàng mặt *disease , hay disease* khóc thét *disease có phải bị disease* vàng da nhân não *disease không ?
Đau nhức răng hàm , ê buốt răng cần điều trị thế nào ?	disease* Đau nhức răng hàm *disease , disease* ê buốt răng *disease cần điều trị thế nào ?
75 tuổi mắc ung thư tiền liệt tuyến có nên cắt tinh hoàn không ?	75 tuổi mắc disease* ung thư tiền liệt tuyến *disease có nên procedure* cắt tinh hoàn *procedure không ?
Bị gãy xương ngón chân có đáng lo ngại không ?	Bị disease* gãy xương ngón chân *disease có đáng lo ngại không ?
Làm sao để giảm tiết mồ hôi nách ?	Làm sao để giảm disease* tiết mồ hôi nách *disease ?
Đau đầu , mỏi phần hốc mắt và đau 2 bên thái dương dấu hiệu bệnh gì ?	disease* Đau đầu *disease , disease* mỏi phần hốc mắt *disease và disease* đau 2 bên thái dương *disease dấu hiệu bệnh gì ?
Sau sảy thai có thể ăn chua không ?	Sau disease* sảy thai *disease có thể ăn chua không ?
Tất cả trường hợp u máu não cần thiết phải điều trị không , thưa bác sĩ ?	Tất cả trường hợp disease* u máu não *disease cần thiết phải điều trị không , thưa bác sĩ ?
Sau sinh 16 tháng chưa có kinh nguyệt phải làm sao ?	disease* Sau sinh 16 tháng chưa có kinh nguyệt *disease phải làm sao ?
Được chẩn đoán ngoại tâm thu nhẹ , phải làm sao ?	Được chẩn đoán disease* ngoại tâm thu nhẹ *disease , phải làm sao ?
Trẻ sơ sinh có thể kiểm tra thính lực khi nào ?	Trẻ sơ sinh có thể procedure* kiểm tra thính lực *procedure khi nào ?
Mắc ống động mạch chủ có cần phẫu thuật không ?	disease* Mắc ống động mạch chủ *disease có cần procedure* phẫu thuật *procedure không ?
Sử dụng thuốc tránh thai khẩn cấp sau khi mổ lấy thai ngoài tử cung	Sử dụng drug* thuốc tránh thai khẩn cấp *drug sau khi procedure* mổ lấy thai ngoài tử cung *procedure
Giải pháp điều trị K dạ dày và polyp hang môn vị	Giải pháp điều trị disease* K dạ dày *disease và disease* polyp hang môn vị *disease
Thưa bác sĩ , bệnh hẹp van hai lá sẽ tiến triển ra sao ạ ?	Thưa bác sĩ , bệnh disease* hẹp van hai lá *disease sẽ tiến triển ra sao ạ ?
Bé đi phân sống trong 1 tháng có sao không ?	Bé disease* đi phân sống *disease trong 1 tháng có sao không ?
Phương pháp điều trị trào ngược thực quản dứt điểm	Phương pháp điều trị disease* trào ngược thực quản *disease dứt điểm
Tiêm mũi 1 và mũi 2 phòng Viêm não Nhật Bản cách nhau 1 tháng có sao không ?	Tiêm mũi 1 và mũi 2 phòng disease* Viêm não Nhật Bản *disease cách nhau 1 tháng có sao không ?
Người cao tuổi bị tiểu đường , cao huyết áp có thể làm sinh thiết không ?	Người cao tuổi bị disease* tiểu đường *disease , disease* cao huyết áp *disease có thể làm procedure* sinh thiết *procedure không ?
Ra dịch âm đạo màu nâu sau sạch kinh 2 tuần có phải dấu hiệu mang thai ?	disease* Ra dịch âm đạo màu nâu *disease sau sạch kinh 2 tuần có phải dấu hiệu disease* mang thai *disease ?
Có kinh nguyệt sau khi quan hệ có thai không ?	Có disease* kinh nguyệt *disease sau khi quan hệ có thai không ?
Triệt sản sau 2 năm có mang thai được nữa không ?	procedure* Triệt sản *procedure sau 2 năm có disease* mang thai *disease được nữa không ?
Bé gái 8 tuổi có dấu hiệu ngực nhô lên có phải dậy thì sớm không ?	Bé gái 8 tuổi có dấu hiệu disease* ngực nhô lên *disease có phải disease* dậy thì sớm *disease không ?
Điều trị u máu ở đầu cho trẻ sinh non được 5 tháng tuổi có ảnh hưởng gì không ?	Điều trị disease* u máu ở đầu *disease cho trẻ sinh non được 5 tháng tuổi có ảnh hưởng gì không ?
Mưng mủ sau khi cắt mí được 4 ngày có nguy hiểm không ?	disease* Mưng mủ *disease sau khi procedure* cắt mí *procedure được 4 ngày có nguy hiểm không ?
Trẻ 2 tuổi khó ngủ , biếng ăn cần làm gì ?	Trẻ 2 tuổi disease* khó ngủ *disease , disease* biếng ăn *disease cần làm gì ?
Thường xuyên bị giật mình , ép tim khó thở là dấu hiệu của bệnh gì ?	Thường xuyên bị disease* giật mình *disease , disease* ép tim *disease disease* khó thở *disease là dấu hiệu của bệnh gì ?
Lớp 9 chưa dậy thì có vấn đề gì không ?	Lớp 9 disease* chưa dậy thì *disease có vấn đề gì không ?
Dùng thuốc cảm cúm khi đang điều trị viêm gan B có được không ?	Dùng thuốc disease* cảm cúm *disease khi đang điều trị disease* viêm gan B *disease có được không ?
Đau thắt ngực vào ban đêm là dấu hiệu bệnh gì ?	disease* Đau thắt ngực *disease vào ban đêm là dấu hiệu bệnh gì ?
Cảm giác nghẹt ở giữa mũi và vòm họng , khó thở bằng mũi cảnh báo bệnh gì ?	Cảm giác disease* nghẹt ở giữa mũi *disease và disease* vòm họng *disease , disease* khó thở *disease bằng mũi cảnh báo bệnh gì ?
