Hẹp động_mạch thận phải có tiến_hành hiến thận được không ?	disease* Hẹp động_mạch thận *disease phải có tiến_hành procedure* hiến thận *procedure được không ?
Trẻ sơ_sinh 2 tháng tuổi vàng mặt , hay khóc thét có phải bị vàng da nhân não không ?	Trẻ sơ_sinh 2 tháng tuổi disease* vàng mặt *disease , hay disease* khóc thét *disease có phải bị disease* vàng da nhân não *disease không ?
Đau_nhức răng_hàm , ê buốt răng cần điều_trị thế_nào ?	disease* Đau_nhức răng_hàm *disease , disease* ê buốt răng *disease cần điều_trị thế_nào ?
75 tuổi mắc ung_thư tiền_liệt_tuyến có nên cắt tinh_hoàn không ?	75 tuổi mắc disease* ung_thư tiền_liệt_tuyến *disease có nên procedure* cắt tinh_hoàn *procedure không ?
Bị gãy xương ngón chân có đáng lo_ngại không ?	Bị disease* gãy xương ngón chân *disease có đáng lo_ngại không ?
Làm_sao để giảm tiết mồ_hôi nách ?	Làm_sao để giảm disease* tiết mồ_hôi nách *disease ?
Đau_đầu , mỏi phần hốc mắt và đau 2 bên thái_dương dấu_hiệu bệnh gì ?	disease* Đau_đầu *disease , disease* mỏi phần hốc mắt *disease và disease* đau 2 bên thái_dương *disease dấu_hiệu bệnh gì ?
Sau sảy thai có_thể ăn chua không ?	Sau disease* sảy thai *disease có_thể ăn chua không ?
Tất_cả trường_hợp u máu não cần_thiết phải điều_trị không , thưa bác_sĩ ?	Tất_cả trường_hợp disease* u máu não *disease cần_thiết phải điều_trị không , thưa bác_sĩ ?
Sau sinh 16 tháng chưa có kinh_nguyệt phải làm_sao ?	disease* Sau sinh 16 tháng chưa có kinh_nguyệt *disease phải làm_sao ?
Được chẩn_đoán ngoại tâm thu nhẹ , phải làm_sao ?	Được chẩn_đoán disease* ngoại tâm thu nhẹ *disease , phải làm_sao ?
Trẻ sơ_sinh có_thể kiểm_tra thính_lực khi nào ?	Trẻ sơ_sinh có_thể procedure* kiểm_tra thính_lực *procedure khi nào ?
Mắc ống động_mạch chủ có cần phẫu_thuật không ?	disease* Mắc ống động_mạch chủ *disease có cần procedure* phẫu_thuật *procedure không ?
Sử_dụng thuốc tránh thai khẩn_cấp sau khi mổ lấy thai ngoài tử_cung	Sử_dụng drug* thuốc tránh thai khẩn_cấp *drug sau khi procedure* mổ lấy thai ngoài tử_cung *procedure
Giải_pháp điều_trị K dạ_dày và polyp hang môn vị	Giải_pháp điều_trị disease* K dạ_dày *disease và disease* polyp hang môn vị *disease
Thưa bác_sĩ , bệnh hẹp van hai lá sẽ tiến_triển ra sao ạ ?	Thưa bác_sĩ , bệnh disease* hẹp van hai lá *disease sẽ tiến_triển ra sao ạ ?
Bé đi phân sống trong 1 tháng có sao không ?	Bé disease* đi phân sống *disease trong 1 tháng có sao không ?
Phương_pháp điều_trị trào ngược thực_quản dứt_điểm	Phương_pháp điều_trị disease* trào ngược thực_quản *disease dứt_điểm
Tiêm mũi 1 và mũi 2 phòng Viêm não Nhật_Bản cách nhau 1 tháng có sao không ?	Tiêm mũi 1 và mũi 2 phòng disease* Viêm não Nhật_Bản *disease cách nhau 1 tháng có sao không ?
Người cao_tuổi bị tiểu_đường , cao huyết_áp có_thể làm sinh_thiết không ?	Người cao_tuổi bị disease* tiểu_đường *disease , disease* cao huyết_áp *disease có_thể làm procedure* sinh_thiết *procedure không ?
Ra dịch_âm đạo màu nâu sau sạch kinh 2 tuần có phải dấu_hiệu mang thai ?	disease* Ra dịch_âm đạo màu nâu *disease sau sạch kinh 2 tuần có phải dấu_hiệu disease* mang thai *disease ?
Có kinh_nguyệt sau khi quan_hệ có_thai không ?	Có disease* kinh_nguyệt *disease sau khi quan_hệ có_thai không ?
Triệt_sản sau 2 năm có mang thai được nữa không ?	procedure* Triệt_sản *procedure sau 2 năm có disease* mang thai *disease được nữa không ?
Bé gái 8 tuổi có dấu_hiệu ngực nhô lên có phải dậy_thì sớm không ?	Bé gái 8 tuổi có dấu_hiệu disease* ngực nhô lên *disease có phải disease* dậy_thì sớm *disease không ?
Điều_trị u máu ở đầu cho trẻ sinh non được 5 tháng tuổi có ảnh_hưởng gì không ?	Điều_trị disease* u máu ở đầu *disease cho trẻ sinh non được 5 tháng tuổi có ảnh_hưởng gì không ?
Mưng mủ sau khi cắt mí được 4 ngày có nguy_hiểm không ?	disease* Mưng mủ *disease sau khi procedure* cắt mí *procedure được 4 ngày có nguy_hiểm không ?
Trẻ 2 tuổi khó ngủ , biếng ăn cần làm gì ?	Trẻ 2 tuổi disease* khó ngủ *disease , disease* biếng ăn *disease cần làm gì ?
Thường_xuyên bị giật_mình , ép tim khó thở là dấu_hiệu của bệnh gì ?	Thường_xuyên bị disease* giật_mình *disease , disease* ép tim *disease disease* khó thở *disease là dấu_hiệu của bệnh gì ?
Lớp 9 chưa dậy_thì có vấn_đề gì không ?	Lớp 9 disease* chưa dậy_thì *disease có vấn_đề gì không ?
Dùng thuốc cảm cúm khi đang điều_trị viêm gan B có được không ?	Dùng thuốc disease* cảm cúm *disease khi đang điều_trị disease* viêm gan B *disease có được không ?
Đau thắt ngực vào ban_đêm là dấu_hiệu bệnh gì ?	disease* Đau thắt ngực *disease vào ban_đêm là dấu_hiệu bệnh gì ?
